,NODE_ID,ARS_ID,정류소명,X좌표,Y좌표,정류소타입,combined,address
6132,114900006,15504,동일하이빌아파트,126.8408155962,37.5100140206,마을버스,"[126.8408155962, 37.5100140206]",양천구
6133,114900005,15505,팔복부동산.목동교회,126.870383328,37.543894503,마을버스,"[126.870383328, 37.543894503]",양천구
6134,114900004,15506,신정현대아파트.서부트럭터미널,126.8412612427,37.5084268815,마을버스,"[126.8412612427, 37.5084268815]",양천구
6135,114900003,15507,목동문화체육센터.건영아파트,126.8690347158,37.5417556164,마을버스,"[126.8690347158, 37.5417556164]",양천구
6136,114900002,15508,한성교회.금옥여고.백암고,126.8430650004,37.5107847678,마을버스,"[126.8430650004, 37.5107847678]",양천구
6137,114900001,15509,우신웨스트빌.목동보건지소,126.8690375939,37.5394632318,마을버스,"[126.8690375939, 37.5394632318]",양천구
6138,114900032,15510,대림.수정아파트,126.8424429811,37.5123383373,마을버스,"[126.8424429811, 37.5123383373]",양천구
6139,114900031,15511,벽산.대주아파트,126.8415302899,37.5143898216,마을버스,"[126.8415302899, 37.5143898216]",양천구
6140,114900030,15512,성원.극동아파트,126.8716473252,37.5380036179,마을버스,"[126.8716473252, 37.5380036179]",양천구
6141,114900029,15513,목동센트럴2단지,126.8410312611,37.515529943,마을버스,"[126.8410312611, 37.515529943]",양천구
6142,114900026,15516,목동센트럴1단지,126.8407068265,37.5164268831,마을버스,"[126.8407068265, 37.5164268831]",양천구
6143,114900025,15518,농협.영도초등학교,126.8705498954,37.535918184,마을버스,"[126.8705498954, 37.535918184]",양천구
6144,114900022,15522,학마을2단지아파트,126.8442805344,37.5088381976,마을버스,"[126.8442805344, 37.5088381976]",양천구
6145,114900020,15524,한신청구아파트,126.8815754738,37.53969003,마을버스,"[126.8815754738, 37.53969003]",양천구
6146,114900018,15526,학마을2단지아파트,126.8440958579,37.5089601172,마을버스,"[126.8440958579, 37.5089601172]",양천구
6147,114900013,15536,신정1동주민센터,126.8547129441,37.5183653861,마을버스,"[126.8547129441, 37.5183653861]",양천구
6148,114900011,15539,목동10단지,126.8566246544,37.5189371319,마을버스,"[126.8566246544, 37.5189371319]",양천구
6149,114900010,15540,오목교역.대학학원,126.8741567243,37.5248106495,마을버스,"[126.8741567243, 37.5248106495]",양천구
6150,114900090,15542,목동프라자,126.8593705814,37.5193999936,마을버스,"[126.8593705814, 37.5193999936]",양천구
6151,114900008,15545,신서초교,126.8621671623,37.5206350924,마을버스,"[126.8621671623, 37.5206350924]",양천구
6152,114900059,15547,서울남부지법,126.8629843287,37.5216813177,마을버스,"[126.8629843287, 37.5216813177]",양천구
6153,114900034,15553,한신청구아파트정문,126.8816171411,37.5398180274,마을버스,"[126.8816171411, 37.5398180274]",양천구
6154,114900035,15554,목동8단지천주교,126.8688815376,37.5225981211,마을버스,"[126.8688815376, 37.5225981211]",양천구
6155,114900036,15556,목동3.4단지사잇길,126.8716438006,37.5327979786,마을버스,"[126.8716438006, 37.5327979786]",양천구
6156,114900063,15561,용왕산입구,126.8731057989,37.5380880949,마을버스,"[126.8731057989, 37.5380880949]",양천구
6157,114900039,15564,성원.극동아파트,126.8717853725,37.5380073723,마을버스,"[126.8717853725, 37.5380073723]",양천구
6158,114900040,15565,목동9단지B상가,126.860685007,37.5182652653,마을버스,"[126.860685007, 37.5182652653]",양천구
6159,114900041,15566,현대아파트.월드메르디앙아파트,126.8699130421,37.5390523984,마을버스,"[126.8699130421, 37.5390523984]",양천구
6160,114900069,15567,목동프라자,126.8592176522,37.5195079433,마을버스,"[126.8592176522, 37.5195079433]",양천구
6161,114900042,15568,우신웨스트빌.목동보건지소,126.8688076498,37.5402388202,마을버스,"[126.8688076498, 37.5402388202]",양천구
6162,114900064,15570,목동문화체육센터.건영아파트,126.869197507,37.5418504119,마을버스,"[126.869197507, 37.5418504119]",양천구
6163,114900091,15571,신정1동주민센터,126.8543800508,37.5184090452,마을버스,"[126.8543800508, 37.5184090452]",양천구
6164,114900065,15572,팔복부동산.목동교회,126.8704988384,37.5438486739,마을버스,"[126.8704988384, 37.5438486739]",양천구
6165,114900047,15574,목2동주민센터,126.8713325179,37.5466952437,마을버스,"[126.8713325179, 37.5466952437]",양천구
6166,114900067,15576,양동중학교,126.8687518796,37.547522312,마을버스,"[126.8687518796, 37.547522312]",양천구
6167,114900074,15577,수명산입구,126.8288756598,37.5434136288,마을버스,"[126.8288756598, 37.5434136288]",양천구
6168,114900044,15579,거산아파트,126.8319712047,37.5401966583,마을버스,"[126.8319712047, 37.5401966583]",양천구
6169,114900048,15582,신곡시장,126.842581104,37.5187453383,마을버스,"[126.842581104, 37.5187453383]",양천구
6170,114900068,15584,목동센트럴1단지,126.8404713803,37.5165519359,마을버스,"[126.8404713803, 37.5165519359]",양천구
6171,114900049,15585,목동센트럴2단지.이마트24,126.8408152558,37.5157451286,마을버스,"[126.8408152558, 37.5157451286]",양천구
6172,114900050,15586,벽산.대주아파트,126.8413477998,37.5145607856,마을버스,"[126.8413477998, 37.5145607856]",양천구
6173,114900051,15587,대림.수정아파트,126.8423503064,37.5122985653,마을버스,"[126.8423503064, 37.5122985653]",양천구
6174,114900052,15588,한성교회.백암고,126.8429319752,37.5111080859,마을버스,"[126.8429319752, 37.5111080859]",양천구
6175,114900053,15589,금옥여고.대우미래사랑아파트,126.8436826965,37.5096646181,마을버스,"[126.8436826965, 37.5096646181]",양천구
6176,114900054,15591,동일하이빌아파트,126.8406524331,37.5101435591,마을버스,"[126.8406524331, 37.5101435591]",양천구
6177,114900070,15593,현대아파트.월드메르디앙아파트,126.8703583513,37.5387122738,마을버스,"[126.8703583513, 37.5387122738]",양천구
6178,114900083,15594,롯데캐슬아파트.목3동시장,126.8670352013,37.5480700593,마을버스,"[126.8670352013, 37.5480700593]",양천구
6179,114900097,15596,신정이펜하우스1단지,126.8280891009,37.5150602232,마을버스,"[126.8280891009, 37.5150602232]",양천구
6180,114900075,15599,서남병원,126.8325983835,37.5117397462,마을버스,"[126.8325983835, 37.5117397462]",양천구
6181,114900057,15600,신은초등학교,126.8335392789,37.5133381042,마을버스,"[126.8335392789, 37.5133381042]",양천구
6182,114900072,15614,신은초등학교,126.8336662919,37.5134441509,마을버스,"[126.8336662919, 37.5134441509]",양천구
6183,114900076,15635,서남병원,126.83252592,37.5117570005,마을버스,"[126.83252592, 37.5117570005]",양천구
6184,114900073,15637,이펜하우스3.4단지,126.8295805468,37.5120485294,마을버스,"[126.8295805468, 37.5120485294]",양천구
6185,114900058,15638,양천어르신요양센터,126.828910031,37.5134418624,마을버스,"[126.828910031, 37.5134418624]",양천구
6186,114000435,15639,신정이펜하우스1단지.새금성교회,126.8284976952,37.5144526403,일반차로,"[126.8284976952, 37.5144526403]",양천구
6187,114000368,15691,목동역,126.864285482,37.5253674114,일반차로,"[126.864285482, 37.5253674114]",양천구
6188,114000369,15692,목동역,126.8647256531,37.5253354768,일반차로,"[126.8647256531, 37.5253354768]",양천구
6189,114000370,15693,갈산초등학교,126.8700047657,37.5129359732,일반차로,"[126.8700047657, 37.5129359732]",양천구
6190,114000371,15694,갈산초등학교,126.87038353,37.5130463236,일반차로,"[126.87038353, 37.5130463236]",양천구
6191,114000372,15695,화곡입구,126.8272223971,37.5369927184,일반차로,"[126.8272223971, 37.5369927184]",양천구
6192,114000373,15696,화곡입구,126.8277279655,37.5370988852,일반차로,"[126.8277279655, 37.5370988852]",양천구
